episode,phase,step0_tool,reward,success,top_patterns
109,Tool Expansion,standard,1.0,1,numpy.mean:0.100|math.sqrt:0.077|math.sqrt:0.072
110,Tool Expansion,standard,-1.0,0,math.sqrt:0.081|numpy.mean:0.077|math.sqrt:0.071
111,Tool Expansion,standard,1.0,1,numpy.mean:0.100|math.sqrt:0.081|numpy.mean:0.077
112,Tool Expansion,standard,1.0,1,numpy.mean:0.100|math.sqrt:0.100|math.sqrt:0.081
113,Tool Expansion,standard,1.0,1,math.sqrt:0.100|math.sqrt:0.082|numpy.mean:0.077
114,Tool Expansion,standard,-1.0,0,math.sqrt:0.085|math.sqrt:0.081|math.sqrt:0.081
115,Tool Expansion,standard,1.0,1,math.sqrt:0.100|math.sqrt:0.085|math.sqrt:0.083
116,Tool Expansion,standard,1.0,1,operator.gt:0.100|math.sqrt:0.089|math.sqrt:0.085
117,Tool Expansion,standard,-1.0,0,math.sqrt:0.105|math.sqrt:0.091|math.sqrt:0.080
118,Tool Expansion,standard,1.0,1,math.sqrt:0.105|numpy.mean:0.100|math.sqrt:0.091
119,Tool Expansion,standard,1.0,1,numpy.mean:0.100|math.sqrt:0.100|math.sqrt:0.096
120,Tool Expansion,standard,1.0,1,numpy.mean:0.100|math.sqrt:0.100|math.sqrt:0.100
121,Tool Expansion,standard,1.0,1,math.sqrt:0.100|math.sqrt:0.090|math.sqrt:0.090
122,Tool Expansion,standard,-1.0,0,math.sqrt:0.143|math.sqrt:0.143|numpy.mean:0.105
123,Tool Expansion,standard,1.0,1,math.sqrt:0.143|math.sqrt:0.143|numpy.mean:0.105
124,Tool Expansion,standard,1.0,1,math.sqrt:0.143|math.sqrt:0.143|numpy.mean:0.105
125,Tool Expansion,standard,-1.0,0,math.sqrt:0.160|math.sqrt:0.154|numpy.mean:0.089
126,Tool Expansion,standard,1.0,1,math.sqrt:0.160|math.sqrt:0.154|operator.gt:0.100
127,Tool Expansion,standard,1.0,1,math.sqrt:0.151|math.sqrt:0.147|math.sqrt:0.100
128,Tool Expansion,standard,-1.0,0,math.sqrt:0.164|math.sqrt:0.159|math.sqrt:0.074
129,Tool Expansion,standard,1.0,1,math.sqrt:0.164|math.sqrt:0.159|math.sqrt:0.100
130,Tool Expansion,standard,-1.0,0,math.sqrt:0.179|math.sqrt:0.149|math.sqrt:0.088
131,Tool Expansion,standard,1.0,1,math.sqrt:0.179|math.sqrt:0.149|math.sqrt:0.100
132,Tool Expansion,standard,1.0,1,math.sqrt:0.179|math.sqrt:0.149|math.sqrt:0.100
133,Tool Expansion,standard,-1.0,0,math.sqrt:0.151|math.sqrt:0.127|math.sqrt:0.084
134,Tool Expansion,standard,-1.0,0,math.sqrt:0.146|math.sqrt:0.120|math.sqrt:0.097
135,Tool Expansion,standard,1.0,1,math.sqrt:0.145|math.sqrt:0.119|math.sqrt:0.100
136,Tool Expansion,standard,1.0,1,math.sqrt:0.145|math.sqrt:0.119|math.sqrt:0.100
137,Tool Expansion,standard,-1.0,0,math.sqrt:0.113|math.sqrt:0.103|math.sqrt:0.092
138,Tool Expansion,standard,1.0,1,math.sqrt:0.113|math.sqrt:0.103|math.sqrt:0.100
139,Tool Expansion,standard,1.0,1,math.sqrt:0.113|math.sqrt:0.103|math.sqrt:0.100
140,Tool Expansion,standard,1.0,1,math.sqrt:0.113|math.sqrt:0.103|math.sqrt:0.100
141,Tool Expansion,standard,1.0,1,math.sqrt:0.113|math.sqrt:0.103|math.sqrt:0.100
142,Tool Expansion,standard,-1.0,0,math.sqrt:0.083|math.sqrt:0.075|math.sqrt:0.073
143,Tool Expansion,standard,-1.0,0,math.sqrt:0.086|math.sqrt:0.085|math.sqrt:0.076
144,Tool Expansion,standard,1.0,1,numpy.mean:0.100|math.sqrt:0.086|math.sqrt:0.085
145,Tool Expansion,standard,1.0,1,numpy.mean:0.100|math.sqrt:0.100|math.sqrt:0.086
146,Tool Expansion,standard,1.0,1,numpy.mean:0.100|math.sqrt:0.100|numpy.mean:0.100
147,Tool Expansion,standard,1.0,1,numpy.mean:0.100|math.sqrt:0.100|numpy.mean:0.100
148,Tool Expansion,standard,1.0,1,numpy.mean:0.100|math.sqrt:0.100|numpy.mean:0.100
149,Tool Expansion,standard,1.0,1,numpy.mean:0.100|math.sqrt:0.100|numpy.mean:0.100
150,Tool Expansion,standard,1.0,1,math.sqrt:0.100|math.sqrt:0.063|numpy.mean:0.060
151,Tool Expansion,standard,1.0,1,math.sqrt:0.100|numpy.mean:0.100|math.sqrt:0.063
152,Tool Expansion,standard,1.0,1,math.sqrt:0.100|numpy.mean:0.100|numpy.mean:0.100
0,Tool Familiarization,standard,1.0,1,sympy.sympify:0.100|arithmetic:0.010|float:0.010
1,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.779|list_modules:0.037|index:0.037
2,Tool Familiarization,standard,1.0,1,sympy.sympify:0.779|operator.add:0.100|list_modules:0.037
3,Tool Familiarization,standard,1.0,1,sympy.sympify:0.713|operator.add:0.101|sympy.sympify:0.100
4,Tool Familiarization,standard,1.0,1,sympy.sympify:0.648|sympy.sympify:0.100|sympy.sympify:0.099
5,Tool Familiarization,standard,1.0,1,sympy.sympify:0.648|sympy.sympify:0.100|sympy.sympify:0.100
6,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.530|sympy.sympify:0.163|operator.add:0.122
7,Tool Familiarization,standard,1.0,1,sympy.sympify:0.530|sympy.sympify:0.168|operator.add:0.122
8,Tool Familiarization,standard,1.0,1,sympy.sympify:0.530|sympy.sympify:0.168|operator.add:0.122
9,Tool Familiarization,standard,1.0,1,sympy.sympify:0.439|sympy.sympify:0.141|operator.add:0.101
0,Tool Familiarization,standard,-1.0,0,re_findall:0.172|split:0.172|arithmetic:0.169
1,Tool Familiarization,standard,1.0,1,re_findall:0.172|split:0.172|arithmetic:0.169
2,Tool Familiarization,standard,1.0,1,re_findall:0.172|split:0.172|arithmetic:0.169
3,Tool Familiarization,standard,1.0,1,re_findall:0.172|split:0.172|arithmetic:0.169
4,Tool Familiarization,standard,1.0,1,re_findall:0.172|split:0.172|arithmetic:0.169
5,Tool Familiarization,standard,-1.0,0,re_findall:0.108|split:0.105|re.findall:0.103
6,Tool Familiarization,standard,1.0,1,re_findall:0.108|split:0.105|re.findall:0.103
7,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.140|operator.add:0.131|re.findall:0.129
8,Tool Familiarization,standard,1.0,1,sympy.sympify:0.140|operator.add:0.131|re.findall:0.129
9,Tool Familiarization,standard,1.0,1,sympy.sympify:0.140|operator.add:0.131|re.findall:0.129
0,Tool Familiarization,standard,1.0,1,sympy.sympify:0.100|arithmetic:0.010|float:0.010
1,Tool Familiarization,standard,1.0,1,sympy.sympify:0.100|operator.add:0.100|arithmetic:0.010
2,Tool Familiarization,standard,1.0,1,sympy.sympify:0.100|operator.add:0.100|operator.add:0.100
3,Tool Familiarization,standard,1.0,1,sympy.sympify:0.100|operator.add:0.100|operator.add:0.100
4,Tool Familiarization,standard,1.0,1,sympy.sympify:0.100|operator.add:0.100|operator.add:0.100
5,Tool Expansion,standard,-1.0,0,sympy.sympify:0.206|operator.add:0.193|operator.add:0.192
6,Tool Expansion,standard,-1.0,0,sympy.sympify:0.226|operator.add:0.210|operator.add:0.189
7,Tool Expansion,standard,-1.0,0,sympy.sympify:0.257|operator.add:0.245|sympy.sympify:0.189
8,Tool Expansion,standard,1.0,1,sympy.sympify:0.257|operator.add:0.245|sympy.sympify:0.189
9,Tool Expansion,standard,1.0,1,sympy.sympify:0.257|operator.add:0.245|sympy.sympify:0.189
0,Tool Familiarization,standard,1.0,1,operator.add:0.100|arithmetic:0.010|float:0.010
1,Tool Familiarization,standard,1.0,1,operator.add:0.100|operator.add:0.100|arithmetic:0.010
2,Tool Familiarization,standard,1.0,1,operator.add:0.100|operator.add:0.100|re.findall:0.100
3,Tool Familiarization,standard,-1.0,0,re.findall:0.330|operator.add:0.313|operator.add:0.278
4,Tool Familiarization,standard,-1.0,0,re.findall:0.405|operator.add:0.290|operator.add:0.264
5,Tool Familiarization,standard,1.0,1,re.findall:0.405|operator.add:0.290|operator.add:0.264
6,Tool Familiarization,standard,-1.0,0,re.findall:0.403|operator.add:0.239|operator.add:0.235
7,Tool Familiarization,standard,-1.0,0,re.findall:0.410|operator.add:0.248|operator.add:0.201
8,Tool Familiarization,standard,1.0,1,re.findall:0.410|operator.add:0.248|operator.add:0.201
9,Tool Familiarization,standard,1.0,1,re.findall:0.410|operator.add:0.248|operator.add:0.201
10,Tool Familiarization,standard,1.0,1,re.findall:0.410|operator.add:0.248|operator.add:0.201
11,Tool Familiarization,standard,1.0,1,re.findall:0.410|operator.add:0.248|operator.add:0.201
12,Tool Familiarization,standard,1.0,1,re.findall:0.410|operator.add:0.248|operator.add:0.201
13,Tool Familiarization,standard,-1.0,0,re.findall:0.232|operator.add:0.163|operator.add:0.115
14,Tool Familiarization,standard,1.0,1,re.findall:0.232|operator.add:0.163|operator.add:0.115
15,Tool Familiarization,standard,-1.0,0,re.findall:0.149|operator.add:0.134|operator.add:0.102
16,Tool Familiarization,standard,1.0,1,re.findall:0.149|operator.add:0.134|operator.add:0.102
17,Tool Familiarization,standard,-1.0,0,operator.add:0.117|sympy.sympify:0.109|sympy.sympify:0.106
18,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.140|operator.add:0.131|sympy.sympify:0.126
19,Tool Familiarization,standard,1.0,1,sympy.sympify:0.140|operator.add:0.131|sympy.sympify:0.126
20,Tool Familiarization,standard,1.0,1,sympy.sympify:0.140|operator.add:0.131|sympy.sympify:0.126
21,Tool Familiarization,standard,1.0,1,sympy.sympify:0.140|operator.add:0.131|sympy.sympify:0.126
22,Tool Familiarization,standard,1.0,1,sympy.sympify:0.140|operator.add:0.131|sympy.sympify:0.126
23,Tool Familiarization,standard,1.0,1,sympy.sympify:0.140|operator.add:0.131|sympy.sympify:0.126
24,Tool Familiarization,standard,1.0,1,sympy.sympify:0.140|operator.add:0.131|sympy.sympify:0.126
25,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.109|operator.add:0.089|sympy.sympify:0.083
26,Tool Familiarization,standard,1.0,1,sympy.sympify:0.109|sympy.sympify:0.100|operator.add:0.089
27,Tool Familiarization,standard,1.0,1,sympy.sympify:0.109|sympy.sympify:0.100|sympy.sympify:0.100
28,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.111|sympy.sympify:0.084|sympy.sympify:0.079
29,Tool Familiarization,standard,1.0,1,sympy.sympify:0.111|sympy.sympify:0.100|sympy.sympify:0.084
30,Tool Familiarization,standard,1.0,1,sympy.sympify:0.102|sympy.sympify:0.101|sympy.sympify:0.100
31,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.188|sympy.sympify:0.091|sympy.sympify:0.075
32,Tool Familiarization,standard,1.0,1,sympy.sympify:0.195|sympy.sympify:0.100|sympy.sympify:0.092
33,Tool Familiarization,standard,1.0,1,sympy.sympify:0.195|sympy.sympify:0.100|sympy.sympify:0.100
34,Tool Familiarization,standard,1.0,1,sympy.sympify:0.195|sympy.sympify:0.100|sympy.sympify:0.100
35,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.206|sympy.sympify:0.077|sympy.sympify:0.066
36,Tool Familiarization,standard,1.0,1,sympy.sympify:0.206|sympy.sympify:0.100|sympy.sympify:0.077
37,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.207|sympy.sympify:0.085|sympy.sympify:0.072
38,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.216|sympy.sympify:0.081|sympy.sympify:0.073
39,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.214|sympy.sympify:0.081|sympy.sympify:0.079
40,Tool Familiarization,standard,1.0,1,sympy.sympify:0.214|sympy.sympify:0.100|sympy.sympify:0.081
41,Tool Familiarization,standard,1.0,1,sympy.sympify:0.214|sympy.sympify:0.100|sympy.sympify:0.100
42,Tool Familiarization,standard,1.0,1,sympy.sympify:0.214|sympy.sympify:0.100|sympy.sympify:0.100
43,Tool Familiarization,standard,1.0,1,sympy.sympify:0.214|sympy.sympify:0.100|sympy.sympify:0.100
44,Tool Familiarization,standard,1.0,1,sympy.sympify:0.214|sympy.sympify:0.100|sympy.sympify:0.100
45,Tool Familiarization,standard,1.0,1,sympy.sympify:0.214|sympy.sympify:0.100|sympy.sympify:0.100
46,Tool Familiarization,standard,1.0,1,sympy.sympify:0.214|sympy.sympify:0.100|sympy.sympify:0.100
47,Tool Familiarization,standard,1.0,1,sympy.sympify:0.214|sympy.sympify:0.100|sympy.sympify:0.100
48,Tool Familiarization,standard,1.0,1,sympy.sympify:0.112|sympy.sympify:0.100|sympy.sympify:0.060
49,Tool Expansion,standard,-1.0,0,sympy.sympify:0.088|sympy.sympify:0.088|sympy.sympify:0.088
50,Tool Expansion,standard,1.0,1,numpy.mean:0.100|sympy.sympify:0.088|sympy.sympify:0.088
51,Tool Expansion,standard,1.0,1,numpy.mean:0.100|math.sqrt:0.100|sympy.sympify:0.088
52,Tool Expansion,standard,1.0,1,numpy.mean:0.100|math.sqrt:0.100|operator.gt:0.100
53,Tool Expansion,standard,1.0,1,numpy.mean:0.100|math.sqrt:0.100|operator.gt:0.100
54,Tool Expansion,standard,1.0,1,numpy.mean:0.100|math.sqrt:0.100|operator.gt:0.100
55,Tool Expansion,standard,1.0,1,numpy.mean:0.100|math.sqrt:0.100|operator.gt:0.100
56,Tool Expansion,standard,1.0,1,operator.add:0.100|sympy.sympify:0.074|sympy.sympify:0.074
57,Tool Expansion,standard,-1.0,0,sympy.sympify:0.088|sympy.sympify:0.088|sympy.sympify:0.086
58,Tool Expansion,standard,-1.0,0,sympy.sympify:0.107|sympy.sympify:0.100|sympy.sympify:0.099
59,Tool Expansion,standard,-1.0,0,sympy.sympify:0.122|sympy.sympify:0.115|sympy.sympify:0.106
60,Tool Expansion,standard,-1.0,0,sympy.sympify:0.138|sympy.sympify:0.130|sympy.sympify:0.112
61,Tool Expansion,standard,1.0,1,sympy.sympify:0.138|sympy.sympify:0.130|sympy.sympify:0.112
62,Tool Expansion,standard,-1.0,0,sympy.sympify:0.139|sympy.sympify:0.139|sympy.sympify:0.105
63,Tool Expansion,standard,1.0,1,sympy.sympify:0.139|sympy.sympify:0.139|sympy.sympify:0.105
64,Tool Expansion,standard,1.0,1,sympy.sympify:0.139|sympy.sympify:0.139|sympy.sympify:0.105
65,Tool Expansion,standard,1.0,1,sympy.sympify:0.139|sympy.sympify:0.139|sympy.sympify:0.105
66,Tool Expansion,standard,-1.0,0,sympy.sympify:0.122|sympy.sympify:0.114|sympy.sympify:0.086
67,Tool Expansion,standard,1.0,1,sympy.sympify:0.122|sympy.sympify:0.114|math.sqrt:0.100
68,Tool Expansion,standard,1.0,1,sympy.sympify:0.122|sympy.sympify:0.114|math.sqrt:0.100
69,Tool Expansion,standard,-1.0,0,sympy.sympify:0.101|sympy.sympify:0.096|math.sqrt:0.077
70,Tool Expansion,standard,1.0,1,math.sqrt:0.100|sympy.sympify:0.099|sympy.sympify:0.095
71,Tool Expansion,standard,1.0,1,math.sqrt:0.100|math.sqrt:0.100|sympy.sympify:0.099
72,Tool Expansion,standard,1.0,1,math.sqrt:0.100|math.sqrt:0.100|numpy.mean:0.100
73,Tool Expansion,standard,-1.0,0,sympy.sympify:0.073|math.sqrt:0.072|sympy.sympify:0.071
74,Tool Expansion,standard,1.0,1,numpy.mean:0.100|sympy.sympify:0.073|math.sqrt:0.072
75,Tool Expansion,standard,1.0,1,numpy.mean:0.100|math.sqrt:0.100|sympy.sympify:0.073
76,Tool Expansion,standard,1.0,1,numpy.mean:0.100|math.sqrt:0.100|operator.gt:0.100
77,Tool Expansion,standard,-1.0,0,math.sqrt:0.075|numpy.mean:0.072|math.sqrt:0.066
78,Tool Expansion,standard,1.0,1,math.sqrt:0.100|math.sqrt:0.075|numpy.mean:0.072
79,Tool Expansion,standard,-1.0,0,math.sqrt:0.078|math.sqrt:0.075|numpy.mean:0.070
80,Tool Expansion,standard,1.0,1,math.sqrt:0.100|math.sqrt:0.078|math.sqrt:0.075
81,Tool Expansion,standard,-1.0,0,math.sqrt:0.085|math.sqrt:0.082|math.sqrt:0.072
82,Tool Expansion,standard,1.0,1,numpy.mean:0.100|math.sqrt:0.085|math.sqrt:0.082
